Head,Body,Tags,First Answer
Why is the learning rate is already very small (1e-05) while the model convergences too fast?,"
I am training a video prediction model.
According to the loss plots, the model convergences very fast while the final loss is not small enough and the generation is not good.
Actually, I have test the lr=1e-04and lr=1e-05, the loss plots drop down a little more slowly, but it's still not ideal. But I think lr=1e-05should be small enough, isn't it?
How should I fix my model or the hyper parameters?
","['machine-learning', 'deep-learning', 'computer-vision']",
How can it be shown clearly and transparently that the outcomes of data-driven health and care technology are validated?,"
The National Health Service (NHS) wrote down several principles in a document Code of conduct for data-driven health and care technology (updated 18 July 2019). I am concerned with principle 7.

Show what type of algorithm is being developed or deployed, the ethical examination of how the data is used, how its performance will be validated and how it will be integrated into health and care provision
Demonstrate the learning methodology of the algorithm being built.
Aim to show in a clear and transparent way how outcomes are validated.

But how exactly can outcomes be shown in a clear and transparent way how outcomes are validated?
","['social', 'ethics', 'healthcare']",
Can (trained) neural networks be combined with symbolic AI to perform operations like AND?,"
Does anyone work out ways of relating trained neural networks by symbolic AI?
For example, if I train a network on pictures of dogs, and I train a network on pictures of shirts. You could imagine that the simplest way (without going through the process from scratch) of identifying ""dog AND shirt"" would be to perform an AND operation on the last output of the individual cat & dog neural nets. So, ""dog AND shirt"" would amount to AND'ing the output of two nets.
But this operation AND could be replaced with a more complicated operation. And, in principle, I could ""train"" a neural network to act as one of these operations.  For instance, maybe I could figure out the net that describes some changeable output ""X"" being ""on the shirt."" This would be sort of like a ""functional"" in mathematics (in which we are operating are considering the behavior of a network whos input could be any network). If I can figure out this ""functional"", then I would be able to use it symbolically and determine queries like ""dog on the shirt""? - ""cat on the shirt""?
It seems like to me there's a lot of sense to turn specific neural networks into more ""abstract"" objects - and that there would be a lot of power in doing so.
","['neural-networks', 'reference-request', 'logic', 'symbolic-ai', 'neurosymbolic-ai']",
How do I apply the value iteration algorithm when there are two goal states?,"
I am working through the famous RL textbook by Sutton & Barto. Currently, I am on the value iteration chapter. To gain better understanding, I coded up a small example, inspired by this article.
The problem is the following

There is a rat (R) in a grid. Every square is accessible. The goal is to find the cheese (C). However, there is also a trap (T). The game is over whenever the rat either find the cheese or is trapped (these are my terminal states). 


The rat can move up, down, left, and right (always by one square). 
I modeled the reward as follows:
-1 for every step
5 for finding the cheese
-5 for getting trapped

I used value iteration for this and it worked out quite nice.
However, now I would like to add another cheese to the equation. In order to win the game, the rat has to collect both cheese pieces.

I am unsure how to model this scenario. I don't think it will work when I use both cheese squares and the trap square as terminal states, with rewards for both cheese squares.
How can I model this scenario? Should I somehow combine the two cheese states into one?
","['reinforcement-learning', 'sutton-barto', 'value-iteration']","What you could do is to trigger environment termination when rat either:  The problem with such setup is that, when the rat picks a single piece, it would move one step to the side, and then it would come back to the same cheese spot so it would keep exploiting the same spot indefinitely. The solution to that would be to simply remove the cheese piece once the rat picks it up, so that it can't exploit it indefinitely. Sadly, another problem would arise which is partial observability: Markov property wouldn't be fulfilled because the current action wouldn't depend on the current state solely, it would be important whether cheese piece was picked before or not. The solution to that would be to make environment fully observable. You could accomplish that by expanding the amount of information about your current state. Before, only your position on the grid was important, but now you would also add state features that tell you whether cheese piece at specific position was picked or not. You would basically add a flag for each cheese piece that has value of 1 if piece was picked, or value of 0 if it wasn't. That way you could remove cheese piece it rat picks it, and you would still have full information. I believe this setup would work."
Modelling gut-feeling/subconscious knowledge of stock market traders,"
Some (stock market) traders have the ability to produce a high percentage of winning trades (80%+, positive return) over years. I had the chance to look into real money trades of two such traders and I also got trading instructions from them for research. 
Now the interesting part is that if you strictly follow their rules then you usually end up with more losers than winners on the long run. But after a while you get some kind of subconscious ""feeling"" for winners which also shows in the results. I assume that this ""feeling"" is a hidden function which can be modeled.
My question is: Is there work about how to model such ""gut feeling"" and subconscious knowledge by means of machine learning (especially with little training data sets)? Is there relevant literature about this topic?
Regards,
","['neural-networks', 'machine-learning', 'reinforcement-learning']",
Why does Deep Q Network outputs multiple Q values?,"
I am learning Deep RL following this tutorial: https://medium.freecodecamp.org/an-introduction-to-deep-q-learning-lets-play-doom-54d02d8017d8
I understand everything but one detail:
This image shows the difference between a classic Q learning table and a DNN.
It states that a Q table needs a state-action pair as input and outputs the corresponding Q value whereas a Deep Q network needs the state as feature input and outputs the Q value for each action that can be made in that state.
But shouldn't the state AND the action together be the input to the network and the network just outputs a single Q value?

","['reinforcement-learning', 'q-learning', 'dqn', 'deep-rl', 'action-spaces']","I think this was just a ""clever"" design choice. You can actually design a neural network (NN), to represent your Q function, which receives as input the state and an action and outputs the corresponding Q value. However, to obtain $\max_aQ(s', a)$ (which is a term of the update rule of the Q-learning algorithm) you would need a ""forward pass"" of this network for each possible action from $s'$. By having a NN that outputs the Q value for each possible action from a given $s'$, you will just need one forward pass of the NN to obtain $\max_aQ(s', a)$, that is, you pick the highest Q value among the outputs of your NN.In the paper A Brief Survey of Deep Reinforcement Learning (by Kai Arulkumaran, Marc Peter Deisenroth, Miles Brundage and Anil Anthony Bharath), at page 7, section ""Value functions"" (and subsection ""Function Approximation and the DQN""), it's written It was designed such that the final fully connected layer outputs $Q^\pi(s,\cdot)$ for all action values in a discrete set of actions — in this case, the various directions of the joystick and the fire button. This not only enables the best action, $\text{argmax}_a Q^\pi(s, a)$, to be chosen after a single forward pass of the network, but also allows the network to more easily encode action-independent knowledge in the lower, convolutional layers."
"Is it possible to use a trained neural network to predict a feature, given other features and output?","
I have a neural network that is already trained to predict two continuous outputs from a set of 7 continuous features. 
Is there any way to apply the network to predict one of the input features, given other 6 features and the two outputs?
","['matlab', 'deep-learning']",
Is fuzzy logic connected to neural networks?,"
Fuzzy logic is typically used in control theory and engineering applications, but is it connected fundamentally to classification systems?
Once I have a trained neural network (multiple inputs, one output), I have a nonlinear function that will turn a set of inputs  into a number that will estimate how close my set of given inputs are to the trained set. 
Since my output number characterizes ""closeness"" to the training set as a continuous number, isn't this kind of inherently some sort of fuzzy classifier? 
Is there a deep connection here in the logic, or am I missing something? 
","['neural-networks', 'fuzzy-logic']",
Is policy learning and online system identification the same?,"
In some newer robotics literature, the term system identification is used in a certain meaning. The idea is not to use a fixed model, but to create the model on the fly. So it is equal to a model-free system identification. Perhaps a short remark for all, who doesn't know what the idea is. System identification means, to create a prediction model, better known as a forward numerical simulation. The model takes the input and calculates the outcome. It's not exactly the same like a physics engine, but both are operating with a model in the loop which is generating the output in realtime.
But what is policy learning? Somewhere, I've read that policy learning is equal to online system identification. Is that correct? And if yes, then it doesn't make much sense, because reinforcement learning has the goal to learn a policy. A policy is something which controls the robot. But if the aim is to do system identification, than the policy is equal to the prediction model. Perhaps somebody can lower the confusion about the different terms ...
Example Q-learning is a good example for reinforcement learning. The idea is to construct a q-table and this table controls the robot movements. But, if online-system-identification is equal to policy learning and this is equal to q-learning, then the q-table doesn't contains the servo signals for the robot, but it provides only the prediction of the system. That means, the q-table is equal to a box2d physics engine which can say, what x/y coordinates the robot will have. This kind of interpretation doesn't make much sense. Or does it make sense and the definition of a policy is quite different?
",['control-problem'],"From the book Reinforcement Learning, An Introduction (R. Sutton, A. Barto):The term system identification is used in adaptive control for what we
  call model-learning (e.g., Goodwin and Sin, 1984; Ljung and S
  ̈oderstrom, 1983; Young, 1984).Model-learning refers to the act of learning the model (environment). Reinforcement Learning can be divided into two types:Model-based - first we build a model of an environment and then do the control.Model-free - we do not try to model the behaviour of the environment. Policy learning is the act of learning optimal policy. You can do it in two ways:On-policy learning - learn about the policy $π$ by sampling from the same policy.Off-policy learning - learn about the policy $π$ from the experience sampled from some other policy (e.g. watching different agent playing a game)."
Azure ML studio pull directly from sharepoint,"
I am toying around with creating a probability of win calculator for proposals that we do. the information on each proposal is housed in our corporate SharePoint (which I am the admin) 
Is there a way to pull directly from SharePoint as the data source rather than have to export to xls then upload each time the data updates?
",['machine-learning'],
Why is gradient ascent necessary when training Actor Critic agents?,"
I have read a lot on Actor Critic and I'm not convinced that there is a qualitative difference doing direct gradient updates on the network and slightly adjusting a soft-max output in the direction of the advantage function and doing gradient descent on the error. 
Can anyone explain why updating the gradient directly is necessary? 
","['reinforcement-learning', 'actor-critic-methods']",
Robot Arm Deep Q Learning Actions,"
Hello I am new to reinforcement learning and robotics. So far I have an understanding of the concept on 2D world. You can make agent move one step in one direction. However, how do you define movement action of a robot arm? I am a bit lost over here. Any useful links or keywords would be very appreciated! :)
","['deep-learning', 'reinforcement-learning', 'q-learning', 'robotics']","It depends a lot on the hardware of your robot arm. 
Assuming that your servos have encoder information, if you have access to servos that have limited control like ""rotate left/rotate right"" functionality, you can phrase the your action space to be [""move left"", ""stop"", ""move right""]. In this way you can implement a discrete action space with 3 actions per servo and have an agent learn to move the servos around the space. If your servos are connected to each other in an elbow/shoulder configuration, you can have a 9 discrete action setup essentially making a box of cardinal directions:Up+Left----------Up-------Up+RightLeft--------------Stop---------RightDown+Left-----Down-----Down+RightIf you have 3 or more servos, you can still use the same idea of discrete actions but the number of discrete actions grows by a factor of 3 with each servo as your action space is now the cross product of all of the other servos. Alternatively you can use a ""multi-headed"" agent where each head chooses actions for a certain servo but there are pros and cons for both depending on your usecase.If you have more advanced servos like Dynamixels which have high quality encoders, you'll have access to more advanced controls schemes. For instance, Dynamixels allow you to give actions in encoder space, angle space, and even velocity space. For example, you could give the action of ""go to encoder value of 500"" or ""go to 90 degrees"" or ""move .5 radians/second"". All of these approaches are useful for certain tasks. For humans controlling the arm using a joystick, the velocity based is the most intuitive and, in my experience, the same is true for RL agents using continuous control.If you are using continuous control, you should normalize all of your action spaces within your agent then ""unnormalize (?)"" them before giving the actions to your servos.
For instance if your servo velocity ranges from -3.5 rad/sec to +3.5 rad/sec, have your agent select actions in the range of [-1,1] then multiply by 3.5 to get the velocity.In either case, one thing that should be noted is that you give your robotic arm enough time to actually perform the action that the agent selected. If not you will see your robot ""jitter"" back and forth quickly as your agent selects actions randomly. This is bad for a few reasons but most importantly because it might break your servos. To overcome this issue, give each action a little more time to be ""actualized"" by your robot. This can either come in the form of adding a delay in your code while your servos do ""the thing"" or by using an ""iterations since last action update"" counter to get a new action from the agent after a certain number of iterations. Not only is this better for your hardware, this also leads to better exploration of your state space as your agent can move through the state space encountering similar states more frequently.A last thing to be aware of is to set hard coded limits on the servos so that your agent doesn't kill your servos by banging the arm against a table or something. Finding these safe bounds isn't always easy as multiple jointed configurations can have multiple ways of hitting the bounds and it might require a forward dynamics model to find these limits. 
If you have only 2 servos, it should be pretty easy to find though :)."
To what does the number of hidden layers in a neural network correspond?,"
In a neural network, the number of neurons in the hidden layer corresponds to the complexity of the model generated to map the inputs to output(s).  More neurons creates a more complex function (and thus the ability to model more nuanced decision barriers) than a hidden layer with less nodes.
But what of the hidden layers?  What do more hidden layers correspond to in terms of the model generated?
","['neural-networks', 'models', 'hidden-layers']","This is a very interesting question that you ask. I believe, this post and this post (written by me) well address your question. However, it deserves an explanation here.1. Fully connected networksThe more layers you add, the more ""nonlinear"" your network becomes. For instance, in the case of two spirals problem, which requires a ""highly nonlinear separation"", the first known architecture to solve the problem was pretty advanced for that time: it had 3 hidden layers and also it had skip-connections (very early ResNet in 1988). Back then, computing was a way less powerful and training methods with momentum were not known. Nevertheless, thanks to the multilayer architecture, the problem was solved. Here, however, I was able to train a single-hidden layer network to solve the spirals problem using Adam.2. Convolutional nets (CNNs)An interesting partial case of neural networks are CNNs. They restrict the architecture of the first layers, known as convolutional layers, so that there is a much smaller number of trainable parameters due to the weights sharing. What we have learned from computer vision, moving towards the end of CNNs layers, their receptive fields become larger. That means that the subsequent CNN layers ""see"" more than their predecessors. Conceptually, first CNN layers can recognize simpler features such as edges and textures, whereas final CNN layers contain information about more abstract objects such as trees or faces.3. Recurrent nets (RNNs)RNNs are networks with layers which receive some of their outputs as inputs. Technically, a single recurrent layer is equivalent to an infinite (or at least large) number of ordinary layers. Thanks to that recurrence, RNNs retain an internal state (memory). Therefore, it is much more difficult to answer your question in the case of recurrent nets. What is known, due to their memory, RNNs are more like programs, and thus are in principle more complex than other neural networks. Please let me know if you find an answer to your question in the last case.To conclude, the higher number of hidden layers may help to structure a neural network. Thanks to the recent developments such as ResNets and backpropagation through time, it is possible to train neural networks with a large number of hidden layers."
Is there more than one Q-matrix update formula?,"
I asked a question a while ago here and since then I've been solving the issues within my code but I have just one question... This is the formula for updating the Q-Matrix in Q-Learning:
$$Q(s_t, a_t) = Q(s_t, a_t) + \alpha \times (R+Q(s_{t+1}, max_a)-Q(s_t, a_t))$$
However, I saw a Q-Learning example that uses a different formula, which I'm applying to my own problem and I'm getting good results:
$$Q(s_t, a_t) = R(s_t,a_t) + \alpha \times Q(s_{t+1}, max_a)$$
Is this valid?
","['reinforcement-learning', 'python', 'q-learning']",
Choosing more than one action in a parameterized policy,"
I would like to implement a variant of policy iteration that can choose one or more actions in each state. An example would be to heal and move in the game of Doom.
Parameterizing the power set of all single actions would be one idea, but I was wondering if somebody achieved good results on a similar problem, perhaps by simply defining some lower bound on the output layer and taking all actions with values larger than that bound (i.e. with actions and activation values {shoot=0.2, heal=0.51, move=0.6, jump=0.4} I would choose heal and move if the bound was 0.5)
Another idea was to collect these actions iteratively, i.e. choosing an action from a softmax output based on the state $s$ (taking action ""healing"") and then constructing and using some temporary state $s_t$ to evaluate that state to find another action (e.g. ""moving""). This would require some dummy action that is just used to signal the end of that iteration procedure (i.e. choosing action $n+1$ will not add any other action to the set $\{ \text{healing}, \text{moving} \}$, but it will lead to the execution of those two actions and transition to the next state $s'$.
","['reinforcement-learning', 'policy-iteration']",
What are the main benefits of using Bayesian networks?,"
I have some trouble understanding the benefits of Bayesian networks.
Am I correct that the key benefit of the network is that one does not need to use the chain rule of probability in order to calculate joint distributions?
So, using the chain rule:
$$
P(A_1, \dots, A_n) = \prod_{i=1}^n (A_i \mid \cap_{j=1}^{i-1} A_j)
$$
leads to the same result as the following (assuming the nodes are structured by a Bayesian network)?
$$
P(A_1, \dots, A_n) = \prod_{i=1}^n P(A_i \mid \text{parents}(A_i))
$$
","['applications', 'probability-distribution', 'probability-theory', 'bayesian-networks']",
Which model should I use to find (only) the object location (in terms of coordinates) in an image?,"
I am generating images that consist of points, where the object's location is where the most overlap of points occurs.

In this example, the object location is $(25, 51)$.
I am trying to train a model to just finds the location, so I don't care about the classification of the object. Additionally, the shape of the overlapping points where the object is located never changes and will always be that shape.
What is a good model for this objective?
Many of the potential models I've been looking at (CNN, YOLO, and R-CNN) are more concerned with classification than location. Should I search the image for the overlapping dots, create a bound box around them, then retrieve the boxes' coordinates?
","['neural-networks', 'machine-learning', 'computer-vision', 'object-recognition', 'model-request']",
Can we define the AI singularity mathematically?,"
The ""AI Singularity"" or ""Technological Singularity"" is a vague term that roughly seems to refer to the idea of:

Humans can design algorithms
Humans can improve algorithms
Eventually algorithms we design might end up being as good as humans at designing and improving algorithms
This might lead to these algorithms designing better versions of themselves, eventually becoming far more intelligent than humans. This improvement would continue to grow at an increasing rate until we reach a ""singularity"" where an AI is capable of making technological progress at a rate far faster than we could ever imagine

Also known as an Intelligence Explosion. This rough idea has been heavily debated as to its feasibility, how fast it'll take (if it does happen), etc.
However I'm not aware of any formal definitions of the concept of ""singularity"". Are there any? If not, do we have close approximations?
I have seen AIXI and the Gödel machine, but these both require some ""reward signal"" — it is unclear to me what reward signal one should choose to bring about a singularity, or really how those models are even relevant here. Because even if we had an oracle that can solve any formal problem given to it, it's unclear to me how we could use that to cause a singularity to happen (see this question for more discussion on that note).
","['math', 'learning-algorithms', 'singularity']",
Is a very powerful oracle sufficient to trigger the AI singularity?,"
Lets say we have a oracle $S$ that, given any function $F$ and desired output $y$,  can find an input $x$ that causes $F$ to output $y$ if it exists, or otherwise returns nil. I.e.:
$$S(F, y) = x \implies F(x) = y$$
$$S(F, y) = nil \implies !\exists  x \hspace{10px}s.t.\hspace{10px} F(x) = y$$
And $S$ takes $1$ millisecond to run (plus the amount of time it takes to read the input and write the output), regardless of $F$ or $y$. $F$ is allowed to include calls to $S$ in itself.
Clearly with this we can solve any NP-Complete problem in constant time (plus the amount of time it takes to read the input and write the output), and in fact we can go further and efficiently solve any optimization problem:
def IsMin(Cost, MeetsConstraints, x):
  def HasSmaller(y):
    return MeetsConstraints(x) and Cost(y) < Cost(x) and y != x
  return MeetsConstraints(x) and S(HasSmaller, True) == nil

def FindMin(Cost, MeetsConstraints):
  def Helper(x):
    return IsMin(Cost, MeetsConstraints, x)
  return S(Helper, True)

Which means we can do something like:
def FindSmallestRecurrentNeuralNetworkThatPerfectlyFitsData(Data):
  def MeetsConstraints(x):
    return IsRecurrentNeuralNetwork(x) and Error(x, Data) == 0
  return FindMin(NumParamaters, MeetsConstraints)

And something similar for any other kind of model (random forest, random ensemble of functions, etc.). We can even solve the halting problem with this, which probably means that there is some proof similar to the halting problem proof that shows such an oracle could not exist. Lets assume this exists anyway, as a thought experiment. 
But I'm not sure how to take it from here to something that achieves endless self improvement. What exactly the ""singularity"" even means I suppose is tricky to define formally, but I'm interested in any simple definitions, even if they don't quite capture it.
A sidenote, here is one more function we can do:
IsEquivalent(G, H):
    def Helper(x):
      return G(x) != H(x)
    return P(Helper, True) == nil

","['algorithm', 'optimization', 'singularity']",
How do you implement NEAT by taking into account the loops?,"
I'm working on my own implementation of NEAT algorithm based on the original 2002 paper called ""Efficient Reinforcement Learning through Evolving Neural Network Topologies"" (by Kenneth O. Stanley and Risto Miikkulainen). The way the algorithm is designed it may generate loops in connection of hidden layer. Which obviously will cause difficulties in calculating the output.
I have searched and came across two types of approaches. One set like this example claim that the value should be calculated like a time series usually seen in RNNs and the circular nodes should use ""old"" values as their ""current"" output. But, this seems wrong since the training data is not always ordered and the previous value has nothing to do with current one.
A second group like this example claim that the structure should be pruned with some method to avoid loops and cycles. This approach apart from being really expensive to do, is also against the core idea of the algorithm. Deleting connections like this may cause later structural changes.
I my self have so far tried setting the unknown forward values as 0 and this hides the connection (as whatever weight it has will have no effect on the result) but have failed also for two reasons. One is my networks get big quickly destroying the ""smallest network required"" idea and also not good results.
What is the correct approach? 
",['neat'],
Should I model my problem as a semi-MDP?,"
I have a system (like a bank) that people (customers) are entered into the systems by a Poisson process, so the time between the arrival of people (two consecutive customers) will be a random variable. The state of the problem is related to just the system (bank), and the action, made inside the system, can be e.g. offering the customer promotion or not (just based on the state of the system, not the status of customers). 
To model the problem through RL, 1) it is possible to discretize time horizon into very short time interval (for example 5 minutes as a stage) such that in each time interval, just a single customer enter to our system. On the other hand, 2) it is possible that stages are defined as the time when a customer enters our system. 
My questions are:

Is the second approach an semi-MDP (SMDP)? If I want to solve it with RL, should I use hierarchical RL?
In the first approach, if a customer enters in a time interval, it is easy to update the Q values. However, what should we do, if we are in state $S$ and take action $A$, but no customer enters our system, so we do not receive any reward for the pair of $(S, A)$? There would be no difference if we would take action $A_{1}$, $A_{2}$, and so on. This can happen for several consecutive time intervals. I think it is more challenging when we consider eligibility traces.

","['reinforcement-learning', 'markov-decision-process', 'semi-mdp', 'hierarchical-rl']",
Why is the number of output channels 16 in the hidden layer of this CNN?,"
In this tutorial from Jeremy Howard: What is torch.nn really? he has an example towards the end where he creates a CNN for MNIST. In nn.Conv2d, he makes the in_channels and out_channels: (1,16), (16,16), (16,10).
I get that the last one has to be 10 because there are 10 classes and we want 'probabilities' of each class. But why go up to 16 first? How do you choose this value? And why not just go from 1 to 10, 10 to 10, and 10 to 10? Does this have to do with the kernel_size and stride?
All of the images are 28x28, so I can't see any correlation between these values and 16 either.
class Mnist_CNN(nn.Module):
    def __init__(self):
        super().__init__()
        self.conv1 = nn.Conv2d(1, 16, kernel_size=3, stride=2, padding=1)
        self.conv2 = nn.Conv2d(16, 16, kernel_size=3, stride=2, padding=1)
        self.conv3 = nn.Conv2d(16, 10, kernel_size=3, stride=2, padding=1)

    def forward(self, xb):
        xb = xb.view(-1, 1, 28, 28)
        xb = F.relu(self.conv1(xb))
        xb = F.relu(self.conv2(xb))
        xb = F.relu(self.conv3(xb))
        xb = F.avg_pool2d(xb, 4)
        return xb.view(-1, xb.size(1))

","['convolutional-neural-networks', 'pytorch', 'hyper-parameters', 'filters']","I understand your question as: ""How did the author select the number of neurons in their hidden layer?""The number of neurons in the hidden layer is how you can control the complexity of the function you are trying to generate to map the inputs to an output. The more neurons in the hidden layer the more complex the function thus you can capture more intricate decision barriers. However, the more complex function is harder to optimize and will lead to lower performance scores. The goal here is to find the right tradeoff to maximize your performance. You can tune the number of hidden neurons as a hyper-parameter using cross-validation.There isn't any formula to determine the number of neurons you will need, however you can get an intuition based on the number of inputs and outputs you will have. Generally, you want more hidden neurons than input and output neurons. Since most people are programmers who are writing neural networks, we are used to working with units in $2^n$. Thus, 16 is chosen over 10, and 32 would be chosen over 28."
What is self-supervised learning in machine learning?,"
What is self-supervised learning in machine learning? How is it different from supervised learning?
","['machine-learning', 'comparison', 'supervised-learning', 'self-supervised-learning', 'representation-learning']","The term self-supervised learning (SSL) has been used (sometimes differently) in different contexts and fields, such as representation learning [1], neural networks, robotics [2], natural language processing, and reinforcement learning. In all cases, the basic idea is to automatically generate some kind of supervisory signal to solve some task (typically, to learn representations of the data or to automatically label a dataset).I will describe what SSL means more specifically in three contexts: representation learning, neural networks and robotics.The term self-supervised learning has been widely used to refer to techniques that do not use human-annotated datasets to learn (visual) representations of the data (i.e. representation learning).In [1], two patches are randomly selected and cropped from an unlabelled image and the goal is to predict the relative position of the two patches. Of course, we have the relative position of the two patches once you have chosen them (i.e. we can keep track of their centers), so, in this case, this is the automatically generated supervisory signal. The idea is that, to solve this task (known as a pretext or auxiliary task in the literature [3, 4, 5, 6]), the neural network needs to learn features in the images. These learned representations can then be used to solve the so-called downstream tasks, i.e. the tasks you are interested in (e.g. object detection or semantic segmentation).So, you first learn representations of the data (by SSL pre-training), then you can transfer these learned representations to solve a task that you actually want to solve, and you can do this by fine-tuning the neural network that contains the learned representations on a labeled (but smaller dataset), i.e. you can use SSL for transfer learning.This example is similar to the example given in this other answer.Some neural networks, for example, autoencoders (AE) [7] are sometimes called self-supervised learning tools. In fact, you can train AEs without images that have been manually labeled by a human. More concretely, consider a de-noising AE, whose goal is to reconstruct the original image when given a noisy version of it. During training, you actually have the original image, given that you have a dataset of uncorrupted images and you just corrupt these images with some noise, so you can calculate some kind of distance between the original image and the noisy one, where the original image is the supervisory signal. In this sense, AEs are self-supervised learning tools, but it's more common to say that AEs are unsupervised learning tools, so SSL has also been used to refer to unsupervised learning techniques.In [2], the training data is automatically but approximately labeled by finding and exploiting the relations or correlations between inputs coming from different sensor modalities (and this technique is called SSL by the authors). So, as opposed to representation learning or auto-encoders, in this case, an actual labeled dataset is produced automatically.Consider a robot that is equipped with a proximity sensor (which is a short-range sensor capable of detecting objects in front of the robot at short distances) and a camera (which is long-range sensor, but which does not provide a direct way of detecting objects). You can also assume that this robot is capable of performing odometry. An example of such a robot is Mighty Thymio.Consider now the task of detecting objects in front of the robot at longer ranges than the range the proximity sensor allows. In general, we could train a CNN to achieve that. However, to train such CNN, in supervised learning, we would first need a labelled dataset, which contains labelled images (or videos), where the labels could e.g. be ""object in the image"" or ""no object in the image"". In supervised learning, this dataset would need to be manually labelled by a human, which clearly would require a lot of work.To overcome this issue, we can use a self-supervised learning approach. In this example, the basic idea is to associate the output of the proximity sensors at a time step $t' > t$ with the output of the camera at time step $t$ (a smaller time step than $t'$).More specifically, suppose that the robot is initially at coordinates $(x, y)$ (on the plane), at time step $t$. At this point, we still do not have enough info to label the output of the camera (at the same time step $t$). Suppose now that, at time $t'$, the robot is at position $(x', y')$. At time step $t'$, the output of the proximity sensor will e.g. be ""object in front of the robot"" or ""no object in front of the robot"". Without loss of generality, suppose that the output of the proximity sensor at $t' > t$ is ""no object in front of the robot"", then the label associated with the output of the camera (an image frame) at time $t$ will be ""no object in front of the robot""."
How the actor use the output from the critic to make action in actor-critic network?,"
I am reading about the actor-critic architecture. I am confused about how the actor determines the action using the value (or future reward) from the critic network.
Below you have the most popular picture of actor-critic network. 

It looks like the input of the actor network is only the ""state"" variable ($s_t$), it has nothing to do with the critic network.
However, from the equation below

the actor seems to be related to critic network. 
I have a few questions

Does actor network has two inputs, state variable and future reward (output from critic network), or only the state variable?
If the actor network does take future reward as input, how does it use it? Only during the training stage, or in the action making stage?
Is there a ""policy iteration"" procedure happens during decision making stage, i.e. for every state $s_t$, policy network will make several attempts with critic network, and output the best policy? 

","['reinforcement-learning', 'actor-critic-methods']",
Complex systems constituting an entity unto itself,"
Introduction:
The notion that various social complex systems (e.g. society, family, business company, state, etc) could be regarded as ones exhibiting consistent traits of behaviour of their own - suggesting that they are entities unto themselves, some sort of organisms on their own or even intelligent entities on their own - is not new. I have personally stumbled upon papers of scholars who straightforwardly speak of such systems as if they were already proven to be singular entities.
That kind of assumption has entered the vernacular, as well, long time ago - e.g. ""the state wants to..."" , ""society responds to conflict by..."", ""the family dynamics seeks balance through..."", etc. 
Therefore, we could even assume at one point, that such social systems are not only organisms of their own, but even some sort of artificial intelligence entities (as long as we could see them as an artificial product of human activity).
We are generally used to seeing ourselves as conscious entities and we are also good at exploring entities of less complexity than ourselves. But when it comes to entities which consists of us as mere components, we are not ready to mentally process that idea - it sounds as either too abstract or too sci-fi (think of Stanisław Lem's work).
Question:

While the average Joe could easily say ""The state wants to..."" or ""Society responds to..."", etc, how exactly do we prove (or at least gather some sort of supporting evidence) that a complex social system really exhibits a behaviour of its own? 
Under what conditions could we regard it as some sort of spontaneously born artificial intelligence? 
If that were true, how could we predict if that AI would procreate and bring about other social system forms which are also entities unto themselves? How could we possibly become aware if that has already happened?

","['philosophy', 'social', 'artificial-consciousness']",
